sentence,clause
"George J. Nelson, a stockbroker and financial consultant who established the Nelson Fund, which came to be known as the mutual ''fund for millionaires,'' died Aug. 2 while vacationing in Valbella, Switzerland.", a stockbroker and financial consultant who established the Nelson Fund
"Karl Bohm, the Austrian conductor who gained world renown as one of the most esteemed and honored musicians of his generation, died yesterday in Salzburg, Austria.", the Austrian conductor who gained world renown as one of the most esteemed and honored musicians of his generation
"Paul d'Otrenge Seghers, a tax lawyer and president of the International Tax Institute, died last Sunday at his home in Ridgefield, Conn.", a tax lawyer and president of the International Tax Institute
"Patricia Miller Ayres, an editor of Guideposts magazine and former general manager of Parents Magazine Press, died Tuesday at Roosevelt Hospital of a cerebral hemorrhage.", an editor of Guideposts magazine and former general manager of Parents Magazine Press
"John Quincy Adams, a descendent of two United States Presidents, died today at his home in Dover, Mass.", a descendent of two United States Presidents
"Susanne K. Langer, a leading American philosopher whose work in esthetics profoundly affected 20th-century thinking in psychology and the social sciences, died Wednesday at her home in Old Lyme, Conn. She was 89 years old.", a leading American philosopher whose work in esthetics profoundly affected 20th-century thinking in psychology and the social sciences
"Max Krook, a retired professor of applied mathematics and astrophysics at Harvard University, died Sunday at his home in Arlington, Mass.", a retired professor of applied mathematics and astrophysics at Harvard University
"Dr. Harry I. Weinstock, a former director of the Department of Psychiatry at the Mount Sinai Hospital Services Division at the City Hospital Center in Elmhurst, Queens, died July 8 at Nyack Hospital in Rockland County.", a former director of the Department of Psychiatry at the Mount Sinai Hospital Services Division at the City Hospital Center in Elmhurst
"Sir Michael Redgrave, one of Britain's preeminent stage actors and a leading film star since his hero's role in Alfred Hitchcock's 1938 classic ''The Lady Vanishes,'' died yesterday, a day after his 77th birthday.", one of Britain's preeminent stage actors and a leading film star since his hero's role in Alfred Hitchcock's 1938 classic ''The Lady Vanishes
"Elaine Perry, an actress, producer and director, died Saturday at her home in Buena Vista, Colo. She was 64 years old.", an actress
"Dr. Alonzo H. Garcelon, president of the National Rifle Association, died Monday at the Maine Medical Center here.", president of the National Rifle Association
"A Car Dealer and Philanthropist Charles N. Schnurmacher, a New York City automobile dealer and philanthropist, died Tuesday at Beth Israel Medical Center.", a New York City automobile dealer and philanthropist
"Bernie Glow, a trumpeter who was a studio and recording musician, died of a blood disorder Saturday in North Shore Hospital in Manhasset, L.I.", a trumpeter who was a studio and recording musician
"Frank C. Erwin Jr., former chairman of the Board of Regents of the University of Texas and a political friend of the President Lyndon B. Johnson and former Gov.", former chairman of the Board of Regents of the University of Texas and a political friend of the President Lyndon B. Johnson and former Gov.
"Diane D. Bornstein, a professor of English at Queens College who wrote about women and literature, died Thursday at her home in Whitestone, Queens.", a professor of English at Queens College who wrote about women and literature
"Edwin C. Kemble, whose 1917 Harvard doctoral thesis was the first in the United States on theoretical physics, died Monday at his home here.", whose 1917 Harvard doctoral thesis was the first in the United States on theoretical physics
"Lenny Baker, who won a Tony award in 1977 for his performance in the Broadway musical ''I Love My Wife'' and who starred in the movie ''Next Stop, Greenwich Village,'' died of cancer yesterday in a hospital in Hallandale, Fla.", who won a Tony award in 1977 for his performance in the Broadway musical ''I Love My Wife'' and who starred in the movie ''Next Stop
"The Duke of Beaufort, known to Britons as the world's greatest fox hunter, died today at home at the age of 83, his family said.", known to Britons as the world's greatest fox hunter
"Jens H. Jebsen, a former international banking executive, died of a heart attack Saturday while playing tennis in Cold Spring Harbor, L.I., where he lived.", a former international banking executive
"The Rev. William M. Slattery, Superior General of the Roman Catholic order of Vincentians and the Company of the Daughters of Charity, died Tuesday at Germantown Hospital in Philadelphia.", Superior General of the Roman Catholic order of Vincentians and the Company of the Daughters of Charity
"MIAMI Sept. 22 Jim Dance, who wrote the column ''Minority Report'' for The Miami Herald, died at Doctors Hospital Wednesday.", who wrote the column ''Minority Report'' for The Miami Herald
"William C. Christianson, a Minnesotan who served as a judge at the Nuremberg war crime trials after World War II, died on Monday at a nursing home in Red Wing, Minn.", a Minnesotan who served as a judge at the Nuremberg war crime trials after World War II
"James F. O'Neil, a past national commander of the American Legion and publisher of the American Legion Magazine for 28 years until his retirement in 1978, died Tuesday of a heart attack at New York Hospital.", a past national commander of the American Legion and publisher of the American Legion Magazine for 28 years until his retirement in 1978
"Frederick W. Eversley Jr., a civil engineer and founder and former president of what was once one of the largest construction businesses with minority-group ownership in the New York area, died of a heart attack last Wednesday while swimming at his vacation home on Nassau, the Bahamas.", a civil engineer and founder and former president of what was once one of the largest construction businesses with minority-group ownership in the New York area
